"","Time","scenario","summary_stat","cumulative_ICU","number"
"108",2020-06-16,"A","Median",13.6833615718316,0
"109",2020-06-17,"A","Median",13.8324546505906,0
"110",2020-06-18,"A","Median",13.7579081112111,0
"111",2020-06-19,"A","Median",13.7873708958409,0
"112",2020-06-20,"A","Median",13.6833615718316,0
"113",2020-06-21,"A","Median",13.638277817082,0
"114",2020-06-22,"A","Median",13.7873708958409,0
"115",2020-06-23,"A","Median",13.8813755578456,0
"116",2020-06-24,"A","Median",14.0079267592297,0
"117",2020-06-25,"A","Median",13.9333802198503,0
"118",2020-06-26,"A","Median",14.0824732986092,0
"119",2020-06-27,"A","Median",14.0824732986092,0
"120",2020-06-28,"A","Median",14.0824732986092,0
"121",2020-06-29,"A","Median",14.2872492886346,0
"122",2020-06-30,"A","Median",14.4432632746486,0
"123",2020-07-01,"A","Median",14.2904919466279,0
"124",2020-07-02,"A","Median",14.2384872846232,0
"125",2020-07-03,"A","Median",14.2904919466279,0
"126",2020-07-04,"A","Median",14.2484919466279,0
"127",2020-07-05,"A","Median",14.1444826226185,0
"128",2020-07-06,"A","Median",14.0404732986092,0
"129",2020-07-07,"A","Median",14.1864826226185,0
"130",2020-07-08,"A","Median",14.4883470293982,0
"131",2020-07-09,"A","Median",14.4883470293982,0
"132",2020-07-10,"A","Median",14.9535425109254,0
"133",2020-07-11,"A","Median",15.4187379924526,0
"134",2020-07-12,"A","Median",16.4009747142681,0
"135",2020-07-13,"A","Median",17.8243231628612,0
"136",2020-07-14,"A","Median",19.2366762734589,0
"137",2020-07-15,"A","Median",20.9759682215766,0
"138",2020-07-16,"A","Median",23.3533952064952,0
"139",2020-07-17,"A","Median",25.3164856759949,0
"140",2020-07-18,"A","Median",28.4445981813448,0
"141",2020-07-19,"A","Median",31.7524161293179,0
"142",2020-07-20,"A","Median",34.8412200912769,0
"143",2020-07-21,"A","Median",38.3258931220203,0
"144",2020-07-22,"A","Median",42.1749949682749,0
"145",2020-07-23,"A","Median",45.9532285244117,0
"146",2020-07-24,"A","Median",50.8928058671369,0
"147",2020-07-25,"A","Median",54.8287541899062,0
"148",2020-07-26,"A","Median",60.3181215086708,0
"149",2020-07-27,"A","Median",65.3023903080052,0
"150",2020-07-28,"A","Median",71.5495229576998,0
"151",2020-07-29,"A","Median",77.5398749553643,0
"152",2020-07-30,"A","Median",84.8144869848677,0
"153",2020-07-31,"A","Median",92.9757108218158,0
"154",2020-08-01,"A","Median",101.868003153326,0
"155",2020-08-02,"A","Median",111.038631221589,0
"156",2020-08-03,"A","Median",120.830171510137,0
"157",2020-08-04,"A","Median",129.775519148664,0
"158",2020-08-05,"A","Median",140.945462475068,0
"159",2020-08-06,"A","Median",153.24689450529,0
"160",2020-08-07,"A","Median",167.826270894323,0
"161",2020-08-08,"A","Median",181.938616560536,0
"162",2020-08-09,"A","Median",198.962609975343,0
"163",2020-08-10,"A","Median",217.0186133512,0
"164",2020-08-11,"A","Median",236.366212698187,0
"165",2020-08-12,"A","Median",259.327998363933,0
"166",2020-08-13,"A","Median",281.400057268958,0
"167",2020-08-14,"A","Median",307.142047103107,0
"168",2020-08-15,"A","Median",334.172150797492,0
"169",2020-08-16,"A","Median",363.018487188728,0
"170",2020-08-17,"A","Median",397.226855799015,0
"171",2020-08-18,"A","Median",430.989474257846,0
"172",2020-08-19,"A","Median",468.705484458303,0
"173",2020-08-20,"A","Median",513.132844461958,0
"174",2020-08-21,"A","Median",557.777290334115,0
"175",2020-08-22,"A","Median",603.58285092589,0
"176",2020-08-23,"A","Median",653.474877265151,0
"177",2020-08-24,"A","Median",707.736441962228,0
"178",2020-08-25,"A","Median",768.165538302184,0
"179",2020-08-26,"A","Median",832.865880626958,0
"180",2020-08-27,"A","Median",901.375201157741,0
"181",2020-08-28,"A","Median",976.820178387353,0
"182",2020-08-29,"A","Median",1059.1284592447,0
"183",2020-08-30,"A","Median",1135.23619774926,0
"184",2020-08-31,"A","Median",1225.61553448947,0
"185",2020-09-01,"A","Median",1318.58390656359,0
"186",2020-09-02,"A","Median",1408.66702327768,0
"187",2020-09-03,"A","Median",1514.26992196861,0
"188",2020-09-04,"A","Median",1618.76732928395,0
"189",2020-09-05,"A","Median",1722.98860328285,0
"190",2020-09-06,"A","Median",1834.71102770839,0
"191",2020-09-07,"A","Median",1964.48994256744,0
"192",2020-09-08,"A","Median",2103.68477094199,0
"193",2020-09-09,"A","Median",2239.03066388683,0
"194",2020-09-10,"A","Median",2372.25747088435,0
"195",2020-09-11,"A","Median",2508.24565988299,0
"196",2020-09-12,"A","Median",2650.0632124205,0
"197",2020-09-13,"A","Median",2805.07975180978,0
"198",2020-09-14,"A","Median",2953.41502769886,0
"199",2020-09-15,"A","Median",3086.47609191689,0
"200",2020-09-16,"A","Median",3192.11816815003,0
"201",2020-09-17,"A","Median",3315.76732516243,0
"202",2020-09-18,"A","Median",3390.95787305122,0
"203",2020-09-19,"A","Median",3484.19835732566,0
"204",2020-09-20,"A","Median",3580.89313282998,0
"205",2020-09-21,"A","Median",3629.3491268526,0
"206",2020-09-22,"A","Median",3660.65818076852,0
"207",2020-09-23,"A","Median",3654.2326798263,0
"208",2020-09-24,"A","Median",3657.1300355753,0
