"","Time","scenario","summary_stat","cumulative_hosp","number"
"108",2020-06-16,"A","Median",36.1046409927445,0
"109",2020-06-17,"A","Median",36.021239871193,0
"110",2020-06-18,"A","Median",36.412688636158,0
"111",2020-06-19,"A","Median",36.737151482255,0
"112",2020-06-20,"A","Median",37.0868996864442,0
"113",2020-06-21,"A","Median",36.903695629165,0
"114",2020-06-22,"A","Median",37.2701037437234,0
"115",2020-06-23,"A","Median",37.2701037437234,0
"116",2020-06-24,"A","Median",37.2701037437234,0
"117",2020-06-25,"A","Median",37.6793799166289,0
"118",2020-06-26,"A","Median",38.1038904061394,0
"119",2020-06-27,"A","Median",37.8361177297374,0
"120",2020-06-28,"A","Median",37.6946142332339,0
"121",2020-06-29,"A","Median",37.8361177297374,0
"122",2020-06-30,"A","Median",37.6281177297374,0
"123",2020-07-01,"A","Median",37.3451107367304,0
"124",2020-07-02,"A","Median",37.0621037437234,0
"125",2020-07-03,"A","Median",37.5531107367304,0
"126",2020-07-04,"A","Median",38.1872915276909,0
"127",2020-07-05,"A","Median",38.1872915276909,0
"128",2020-07-06,"A","Median",39.5151147498148,0
"129",2020-07-07,"A","Median",40.8679786223453,0
"130",2020-07-08,"A","Median",43.3837918715396,0
"131",2020-07-09,"A","Median",47.2730678717129,0
"132",2020-07-10,"A","Median",51.0168880187962,0
"133",2020-07-11,"A","Median",55.6112830853845,0
"134",2020-07-12,"A","Median",61.9496177350626,0
"135",2020-07-13,"A","Median",67.3749616650456,0
"136",2020-07-14,"A","Median",75.4094426605419,0
"137",2020-07-15,"A","Median",84.453505055281,0
"138",2020-07-16,"A","Median",92.7360163101031,0
"139",2020-07-17,"A","Median",102.027252502796,0
"140",2020-07-18,"A","Median",112.520042737714,0
"141",2020-07-19,"A","Median",122.730993477196,0
"142",2020-07-20,"A","Median",135.649716720348,0
"143",2020-07-21,"A","Median",146.52925585208,0
"144",2020-07-22,"A","Median",161.242806408054,0
"145",2020-07-23,"A","Median",174.875641211345,0
"146",2020-07-24,"A","Median",191.59973652924,0
"147",2020-07-25,"A","Median",207.773052177727,0
"148",2020-07-26,"A","Median",227.402739208331,0
"149",2020-07-27,"A","Median",249.662760548077,0
"150",2020-07-28,"A","Median",273.146251452453,0
"151",2020-07-29,"A","Median",297.814449260106,0
"152",2020-07-30,"A","Median",324.247039709654,0
"153",2020-07-31,"A","Median",348.242397263341,0
"154",2020-08-01,"A","Median",378.199987294896,0
"155",2020-08-02,"A","Median",411.346176032168,0
"156",2020-08-03,"A","Median",450.15022593668,0
"157",2020-08-04,"A","Median",488.479949367824,0
"158",2020-08-05,"A","Median",534.077930806826,0
"159",2020-08-06,"A","Median",582.963175848378,0
"160",2020-08-07,"A","Median",634.607911033581,0
"161",2020-08-08,"A","Median",695.682736740291,0
"162",2020-08-09,"A","Median",755.820548025332,0
"163",2020-08-10,"A","Median",825.371722416135,0
"164",2020-08-11,"A","Median",898.35756337656,0
"165",2020-08-12,"A","Median",976.551531674828,0
"166",2020-08-13,"A","Median",1067.46816121095,0
"167",2020-08-14,"A","Median",1158.31949433617,0
"168",2020-08-15,"A","Median",1260.07637019893,0
"169",2020-08-16,"A","Median",1379.29587026988,0
"170",2020-08-17,"A","Median",1500.08762522524,0
"171",2020-08-18,"A","Median",1624.49685117091,0
"172",2020-08-19,"A","Median",1758.61141203684,0
"173",2020-08-20,"A","Median",1905.32734318614,0
"174",2020-08-21,"A","Median",2066.14140643894,0
"175",2020-08-22,"A","Median",2241.36320881635,0
"176",2020-08-23,"A","Median",2427.09064735544,0
"177",2020-08-24,"A","Median",2627.99695314763,0
"178",2020-08-25,"A","Median",2847.55996278621,0
"179",2020-08-26,"A","Median",3053.75632744423,0
"180",2020-08-27,"A","Median",3296.04379929979,0
"181",2020-08-28,"A","Median",3545.14192400593,0
"182",2020-08-29,"A","Median",3791.36232062937,0
"183",2020-08-30,"A","Median",4077.81350977534,0
"184",2020-08-31,"A","Median",4363.4054252752,0
"185",2020-09-01,"A","Median",4646.36877272316,0
"186",2020-09-02,"A","Median",4955.10863641501,0
"187",2020-09-03,"A","Median",5302.39228228719,0
"188",2020-09-04,"A","Median",5672.97732619124,0
"189",2020-09-05,"A","Median",6037.33075608368,0
"190",2020-09-06,"A","Median",6401.21111623442,0
"191",2020-09-07,"A","Median",6766.8443997416,0
"192",2020-09-08,"A","Median",7150.869025362,0
"193",2020-09-09,"A","Median",7566.19669398887,0
"194",2020-09-10,"A","Median",7962.91713885625,0
"195",2020-09-11,"A","Median",8320.30751082367,0
"196",2020-09-12,"A","Median",8616.20587281787,0
"197",2020-09-13,"A","Median",8958.68857828994,0
"198",2020-09-14,"A","Median",9182.06002410067,0
"199",2020-09-15,"A","Median",9453.11564291354,0
"200",2020-09-16,"A","Median",9730.75197448391,0
"201",2020-09-17,"A","Median",9866.44577142197,0
"202",2020-09-18,"A","Median",9963.14124524484,0
"203",2020-09-19,"A","Median",9955.16279444559,0
"204",2020-09-20,"A","Median",9954.65707789307,0
"205",2020-09-21,"A","Median",10026.8676360277,0
"206",2020-09-22,"A","Median",10045.1956521184,0
"207",2020-09-23,"A","Median",10044.0782905498,0
"208",2020-09-24,"A","Median",10014.7770773797,0
"209",2020-09-25,"A","Median",9958.44744828405,0
"210",2020-09-26,"A","Median",9848.84366007342,0
"211",2020-09-27,"A","Median",9806.9931913308,0
"212",2020-09-28,"A","Median",9749.88181150534,0
"213",2020-09-29,"A","Median",9643.55613764322,0
"214",2020-09-30,"A","Median",9537.11080522116,0
"215",2020-10-01,"A","Median",9355.37489828969,0
"216",2020-10-02,"A","Median",9268.40030950816,0
"217",2020-10-03,"A","Median",9156.10228695193,0
"218",2020-10-04,"A","Median",8996.10711265038,0
"219",2020-10-05,"A","Median",8855.92063953881,0
"220",2020-10-06,"A","Median",8701.69446975879,0
"221",2020-10-07,"A","Median",8605.78690939496,0
"222",2020-10-08,"A","Median",8437.09808899988,0
"223",2020-10-09,"A","Median",8218.87179129552,0
"224",2020-10-10,"A","Median",8057.26835542929,0
"225",2020-10-11,"A","Median",7928.926299446,0
"226",2020-10-12,"A","Median",7773.0049477598,0
"227",2020-10-13,"A","Median",7603.85571343396,0
"228",2020-10-14,"A","Median",7466.82672084083,0
"229",2020-10-15,"A","Median",7293.69621269766,0
"230",2020-10-16,"A","Median",7136.81460716594,0
"231",2020-10-17,"A","Median",6954.3551875414,0
"232",2020-10-18,"A","Median",6799.25266079672,0
"233",2020-10-19,"A","Median",6679.75018999056,0
"234",2020-10-20,"A","Median",6488.95235828074,0
"235",2020-10-21,"A","Median",6312.8575475831,0
"236",2020-10-22,"A","Median",6118.50802663614,0
"237",2020-10-23,"A","Median",5925.76865591541,0
"238",2020-10-24,"A","Median",5718.01160787643,0
"239",2020-10-25,"A","Median",5566.66659193915,0
"240",2020-10-26,"A","Median",5351.56170020452,0
"241",2020-10-27,"A","Median",5136.11735987731,0
"242",2020-10-28,"A","Median",4926.45512902943,0
"243",2020-10-29,"A","Median",4718.21073349962,0
"244",2020-10-30,"A","Median",4527.84885659965,0
"245",2020-10-31,"A","Median",4324.05914852695,0
"246",2020-11-01,"A","Median",4136.70125267589,0
"247",2020-11-02,"A","Median",3945.96565254787,0
"248",2020-11-03,"A","Median",3745.85593762591,0
"249",2020-11-04,"A","Median",3573.8192207753,0
"250",2020-11-05,"A","Median",3385.60351252327,0
"251",2020-11-06,"A","Median",3209.27125635838,0
"252",2020-11-07,"A","Median",3052.66841914121,0
"253",2020-11-08,"A","Median",2890.29357035523,0
"254",2020-11-09,"A","Median",2752.56364705627,0
"255",2020-11-10,"A","Median",2595.53215109417,0
"256",2020-11-11,"A","Median",2460.65174929623,0
"257",2020-11-12,"A","Median",2316.79016354211,0
"258",2020-11-13,"A","Median",2192.90342883335,0
"259",2020-11-14,"A","Median",2073.63635220196,0
"260",2020-11-15,"A","Median",1957.7968636055,0
"261",2020-11-16,"A","Median",1847.00278764415,0
"262",2020-11-17,"A","Median",1741.06296579666,0
"263",2020-11-18,"A","Median",1647.23812626665,0
"264",2020-11-19,"A","Median",1553.29876695561,0
"265",2020-11-20,"A","Median",1456.67654450153,0
"266",2020-11-21,"A","Median",1372.37465537029,0
"267",2020-11-22,"A","Median",1291.28311185288,0
"268",2020-11-23,"A","Median",1208.73737277059,0
"269",2020-11-24,"A","Median",1131.25770737498,0
"270",2020-11-25,"A","Median",1060.66629882245,0
"271",2020-11-26,"A","Median",999.202585102507,0
"272",2020-11-27,"A","Median",928.829400976859,0
"273",2020-11-28,"A","Median",876.322024976538,0
"274",2020-11-29,"A","Median",820.468493852325,0
"275",2020-11-30,"A","Median",770.373819702907,0
"276",2020-12-01,"A","Median",721.752178482773,0
"277",2020-12-02,"A","Median",675.139283411885,0
"278",2020-12-03,"A","Median",638.731521973098,0
"279",2020-12-04,"A","Median",598.854535778767,0
"280",2020-12-05,"A","Median",563.3351724512,0
"281",2020-12-06,"A","Median",531.453547832665,0
"282",2020-12-07,"A","Median",499.760093859274,0
"283",2020-12-08,"A","Median",468.737705008503,0
"284",2020-12-09,"A","Median",437.207134919404,0
"285",2020-12-10,"A","Median",408.91544503473,0
