"","Time","scenario","summary_stat","incident_death","cum_death"
"709",2020-06-17,"C","Median",2.94524686410599,50.0764698958146
"710",2020-06-18,"C","Median",3.07130654855271,53.1477764443673
"711",2020-06-19,"C","Median",3.36429685248916,56.5120732968564
"712",2020-06-20,"C","Median",3.57522516710734,60.0872984639638
"713",2020-06-21,"C","Median",3.73747598966706,63.8247744536308
"714",2020-06-22,"C","Median",3.98902806924343,67.8138025228743
"715",2020-06-23,"C","Median",4.24395870860528,72.0577612314795
"716",2020-06-24,"C","Median",4.69163460160614,76.7493958330857
"717",2020-06-25,"C","Median",4.95927122302613,81.7086670561118
"718",2020-06-26,"C","Median",5.02815885151248,86.7368259076243
"719",2020-06-27,"C","Median",5.6637223953352,92.4005483029595
"720",2020-06-28,"C","Median",5.93594777774745,98.336496080707
"721",2020-06-29,"C","Median",6.32961129688678,104.666107377594
"722",2020-06-30,"C","Median",6.75137386892735,111.417481246521
"723",2020-07-01,"C","Median",6.94472612683893,118.36220737336
"724",2020-07-02,"C","Median",7.12059042244785,125.482797795808
"725",2020-07-03,"C","Median",7.43459672957195,132.91739452538
"726",2020-07-04,"C","Median",7.86616419421395,140.783558719594
"727",2020-07-05,"C","Median",8.02179823856382,148.805356958158
"728",2020-07-06,"C","Median",8.46629721599814,157.271654174156
"729",2020-07-07,"C","Median",9.04487307895744,166.316527253113
"730",2020-07-08,"C","Median",9.1167324664939,175.433259719607
"731",2020-07-09,"C","Median",9.69745883615932,185.130718555766
"732",2020-07-10,"C","Median",10.0799440314398,195.210662587206
"733",2020-07-11,"C","Median",10.5088003531062,205.719462940312
"734",2020-07-12,"C","Median",10.8434733938563,216.562936334169
"735",2020-07-13,"C","Median",11.4590194938097,228.021955827978
"736",2020-07-14,"C","Median",11.849783671744,239.871739499722
"737",2020-07-15,"C","Median",12.2994626698406,252.171202169563
"738",2020-07-16,"C","Median",12.7187609099721,264.889963079535
"739",2020-07-17,"C","Median",13.3864894067797,278.276452486315
"740",2020-07-18,"C","Median",15.5850102496188,293.861462735934
"741",2020-07-19,"C","Median",17.2404996325897,311.101962368523
"742",2020-07-20,"C","Median",19.0805447892419,330.182507157765
"743",2020-07-21,"C","Median",20.9878627959355,351.170369953701
"744",2020-07-22,"C","Median",22.6432899857279,373.813659939429
"745",2020-07-23,"C","Median",24.3667563687088,398.180416308137
"746",2020-07-24,"C","Median",26.3864809469601,424.566897255098
"747",2020-07-25,"C","Median",28.3658737871523,452.93277104225
"748",2020-07-26,"C","Median",29.7016899807563,482.634461023006
"749",2020-07-27,"C","Median",32.0655432551871,514.700004278193
"750",2020-07-28,"C","Median",34.1980645637364,548.89806884193
"751",2020-07-29,"C","Median",36.3714687611884,585.269537603118
"752",2020-07-30,"C","Median",38.8052179255102,624.074755528628
"753",2020-07-31,"C","Median",40.746201416491,664.820956945119
"754",2020-08-01,"C","Median",43.3431207921665,708.164077737286
"755",2020-08-02,"C","Median",45.5758987055917,753.739976442877
"756",2020-08-03,"C","Median",48.2666675865597,802.006644029437
"757",2020-08-04,"C","Median",50.1269133572157,852.133557386653
"758",2020-08-05,"C","Median",52.4176048256703,904.551162212323
"759",2020-08-06,"C","Median",54.8965378686397,959.447700080963
"760",2020-08-07,"C","Median",56.744046907273,1016.19174698824
"761",2020-08-08,"C","Median",58.2994037508242,1074.49115073906
"762",2020-08-09,"C","Median",60.1635662891458,1134.65471702821
"763",2020-08-10,"C","Median",61.5035672168652,1196.15828424507
"764",2020-08-11,"C","Median",62.7940213195815,1258.95230556465
"765",2020-08-12,"C","Median",63.6330368146746,1322.58534237933
"766",2020-08-13,"C","Median",64.046160278899,1386.63150265823
"767",2020-08-14,"C","Median",64.1013913233103,1450.73289398154
"768",2020-08-15,"C","Median",64.6938685185175,1515.42676250005
"769",2020-08-16,"C","Median",64.9859282514305,1580.41269075148
"770",2020-08-17,"C","Median",64.5706399607852,1644.98333071227
"771",2020-08-18,"C","Median",64.9207036853193,1709.90403439759
"772",2020-08-19,"C","Median",64.6939801847947,1774.59801458238
"773",2020-08-20,"C","Median",64.7432478548598,1839.34126243724
"774",2020-08-21,"C","Median",64.7604397243399,1904.10170216158
"775",2020-08-22,"C","Median",64.2057949827652,1968.30749714435
"776",2020-08-23,"C","Median",64.0774975551396,2032.38499469949
"777",2020-08-24,"C","Median",63.4434046048658,2095.82839930435
"778",2020-08-25,"C","Median",63.0619566345851,2158.89035593894
"779",2020-08-26,"C","Median",62.6422642332251,2221.53262017216
"780",2020-08-27,"C","Median",61.5033558969852,2283.03597606915
"781",2020-08-28,"C","Median",61.1203358077072,2344.15631187686
"782",2020-08-29,"C","Median",60.2856361375821,2404.44194801444
"783",2020-08-30,"C","Median",59.8931607930047,2464.33510880744
"784",2020-08-31,"C","Median",58.9875270267585,2523.3226358342
"785",2020-09-01,"C","Median",58.3458662368065,2581.66850207101
"786",2020-09-02,"C","Median",57.6138397818842,2639.28234185289
"787",2020-09-03,"C","Median",57.2180109768725,2696.50035282977
"788",2020-09-04,"C","Median",56.6684656796068,2753.16881850937
"789",2020-09-05,"C","Median",56.0536313892174,2809.22244989859
"790",2020-09-06,"C","Median",55.607939136474,2864.83038903506
"791",2020-09-07,"C","Median",54.7640729564551,2919.59446199152
"792",2020-09-08,"C","Median",54.1479955428456,2973.74245753436
"793",2020-09-09,"C","Median",53.5810498551009,3027.32350738946
"794",2020-09-10,"C","Median",52.6802624770528,3080.00376986652
"795",2020-09-11,"C","Median",52.3458841556856,3132.3496540222
"796",2020-09-12,"C","Median",51.8480552398921,3184.1977092621
"797",2020-09-13,"C","Median",50.7983521638785,3234.99606142597
"798",2020-09-14,"C","Median",50.1830834145544,3285.17914484053
"799",2020-09-15,"C","Median",49.1459333429959,3334.32507818352
"800",2020-09-16,"C","Median",48.7864856225783,3383.1115638061
"801",2020-09-17,"C","Median",48.3702651874052,3431.48182899351
"802",2020-09-18,"C","Median",47.4576079260515,3478.93943691956
"803",2020-09-19,"C","Median",46.7203694187741,3525.65980633833
"804",2020-09-20,"C","Median",46.1281623898464,3571.78796872818
"805",2020-09-21,"C","Median",45.0894446185043,3616.87741334668
"806",2020-09-22,"C","Median",44.6283890002168,3661.5058023469
"807",2020-09-23,"C","Median",44.1181597777821,3705.62396212468
"808",2020-09-24,"C","Median",43.7789157084202,3749.4028778331
"809",2020-09-25,"C","Median",43.4372059503052,3792.84008378341
"810",2020-09-26,"C","Median",42.8265481326263,3835.66663191603
"811",2020-09-27,"C","Median",42.2632061527156,3877.92983806875
"812",2020-09-28,"C","Median",41.7824194576273,3919.71225752638
"813",2020-09-29,"C","Median",40.9376466445485,3960.64990417093
"814",2020-09-30,"C","Median",40.0972684268323,4000.74717259776
"815",2020-10-01,"C","Median",39.5064207655689,4040.25359336333
"816",2020-10-02,"C","Median",38.7213188429493,4078.97491220628
"817",2020-10-03,"C","Median",37.8288663143148,4116.80377852059
"818",2020-10-04,"C","Median",37.2209345540639,4154.02471307466
"819",2020-10-05,"C","Median",36.063441959883,4190.08815503454
"820",2020-10-06,"C","Median",35.0042715630917,4225.09242659763
"821",2020-10-07,"C","Median",33.800538341905,4258.89296493953
"822",2020-10-08,"C","Median",33.1390537701919,4292.03201870973
"823",2020-10-09,"C","Median",31.8981471947211,4323.93016590445
"824",2020-10-10,"C","Median",30.7641013660941,4354.69426727054
"825",2020-10-11,"C","Median",29.4688683487676,4384.16313561931
"826",2020-10-12,"C","Median",28.4715142442809,4412.63464986359
"827",2020-10-13,"C","Median",27.1671589611981,4439.80180882479
"828",2020-10-14,"C","Median",26.0510946846174,4465.85290350941
